"ip1","ip2","ip3","ip4","tepat"
2.30,1.97,1.80,1.56,Tidak
1.81,1.68,1.57,1.86,Tidak
3.07,3.00,2.75,3.21,Tidak
2.71,2.33,2.61,1.98,Tidak
3.17,3.02,3.28,2.96,Tidak
3.16,3.45,3.02,3.06,Tidak
2.72,2.50,2.92,3.00,Tidak
2.97,3.27,2.90,2.83,Tidak
2.72,2.61,2.64,2.46,Tidak
2.78,2.85,3.08,3.35,Tidak
2.50,1.56,3.17,3.33,Tidak
2.19,2.92,2.54,2.67,Tidak
3.43,3.18,3.41,3.45,Ya
3.14,2.75,3.01,3.38,Tidak
3.04,2.95,3.14,2.98,Ya
2.83,2.56,3.00,2.79,Ya
2.60,2.72,3.08,2.54,Ya
2.98,3.02,2.98,2.90,Ya
3.10,3.34,3.38,3.42,Ya
2.52,2.36,1.85,2.73,Ya
3.17,3.50,3.46,3.58,Ya
3.06,3.21,3.23,3.35,Ya
2.92,1.78,3.21,3.04,Ya
3.00,1.50,3.23,3.15,Ya
3.10,3.39,3.17,3.08,Ya
2.84,3.02,3.21,2.83,Ya
3.02,2.97,3.04,3.04,Ya
2.95,3.40,2.67,3.42,Ya
3.02,3.48,3.15,3.19,Ya
3.11,3.48,2.73,3.35,Ya
2.91,3.31,3.18,3.15,Ya
3.30,3.31,2.60,3.17,Ya
2.98,3.31,2.60,3.17,Ya
2.88,2.73,2.60,3.15,Ya
3.02,3.38,3.20,3.17,Ya
3.32,3.58,3.38,3.38,Ya
3.32,3.65,3.42,3.42,Ya
3.16,3.56,3.10,3.58,Ya
3.30,3.37,3.12,3.54,Ya
3.32,3.38,3.47,3.60,Ya
2.95,2.73,3.10,3.46,Ya
3.18,3.50,2.75,3.32,Ya
3.22,3.48,2.62,3.15,Ya
3.39,3.55,3.23,3.04,Ya
3.10,2.58,2.75,2.67,Ya
2.44,2.86,2.86,1.58,Tidak
3.02,3.10,3.04,3.24,Ya
2.68,2.89,2.77,2.85,Ya
3.24,3.12,3.20,3.70,Ya
3.02,3.00,2.94,3.46,Ya
3.15,3.27,3.02,3.32,Ya
2.71,2.88,2.65,2.65,Ya
2.57,2.45,2.79,2.99,Ya
3.62,3.56,3.54,3.79,Ya
2.97,2.85,3.05,2.97,Ya
3.13,3.00,3.33,2.47,Tidak
2.80,2.81,2.65,3.28,Ya
2.86,2.77,2.67,3.33,Ya
2.83,3.13,3.02,3.40,Ya
2.87,3.12,2.93,3.47,Ya
2.91,3.17,2.95,3.34,Ya
2.94,3.19,2.84,3.52,Ya
2.94,3.19,3.05,3.64,Ya
2.94,3.23,3.09,3.57,Ya
2.86,2.67,3.14,3.26,Ya
2.85,2.83,2.84,3.47,Ya
2.99,3.12,2.89,3.43,Ya
2.82,2.94,2.52,3.17,Ya
2.66,3.44,2.77,3.57,Ya
3.13,2.90,2.73,3.34,Ya
3.25,2.75,3.25,2.89,Ya
3.35,2.96,2.80,3.24,Ya
3.35,2.79,2.89,3.52,Ya
3.40,3.62,2.93,3.61,Ya
3.40,3.15,2.95,3.50,Ya
3.43,3.22,3.06,3.16,Ya
3.35,2.91,3.14,3.34,Ya
3.49,3.22,3.08,3.59,Ya
3.50,2.71,3.16,3.50,Ya
2.71,3.25,2.71,2.50,Ya
2.88,2.86,2.96,3.24,Tidak
3.18,3.34,3.19,3.47,Ya
2.92,1.50,2.94,3.04,Ya
2.86,2.30,2.76,3.12,Ya
3.04,3.07,2.98,3.01,Tidak
2.70,2.41,2.98,3.09,Ya
3.12,3.27,3.19,3.18,Ya
3.05,2.28,2.74,3.09,Ya
2.50,2.12,2.53,2.34,Ya
3.12,2.69,2.03,2.75,Ya
2.89,2.68,2.65,1.15,Ya
3.00,2.95,2.99,1.16,Ya
3.23,2.91,2.98,3.41,Ya
3.06,3.34,3.22,3.43,Ya
3.05,2.91,3.04,3.19,Ya
2.98,3.07,2.70,3.12,Ya
3.32,3.11,2.96,3.59,Ya
2.82,3.11,2.66,1.13,Ya
2.89,3.09,3.06,3.26,Ya
3.00,3.14,3.28,3.25,Ya
2.73,3.25,2.22,3.06,Ya
2.92,2.64,2.59,1.09,Ya
3.12,2.94,2.96,3.13,Ya
2.98,3.22,3.50,3.51,Ya
3.00,3.38,3.24,3.32,Ya
2.94,3.10,3.37,3.42,Ya
2.80,3.22,2.98,3.09,Ya
2.76,3.07,3.43,3.08,Ya
2.16,3.00,2.50,3.13,Ya
2.95,3.00,3.20,3.26,Ya
3.06,2.94,3.31,3.44,Ya
2.95,3.06,2.85,3.27,Ya
2.95,2.97,2.38,2.18,Ya
3.10,2.84,3.14,3.10,Ya
3.18,3.09,2.80,3.06,Ya
2.98,3.03,2.88,3.15,Ya
2.84,3.12,2.72,2.93,Ya
3.25,3.54,3.49,3.28,Ya
2.81,2.97,3.04,2.82,Tidak
3.19,3.22,3.35,3.02,Ya
2.90,3.16,3.20,3.18,Ya
2.98,2.81,2.81,2.91,Ya
2.89,2.95,3.06,3.04,Tidak
2.85,3.12,2.54,3.10,Ya
2.96,2.95,2.99,3.20,Ya
3.30,3.28,3.41,3.56,Ya
3.28,2.92,3.20,3.52,Ya
3.10,3.31,3.31,3.52,Ya
3.02,3.02,3.16,3.50,Ya
2.71,3.10,3.14,3.40,Ya
3.06,2.80,3.25,3.56,Ya
3.15,2.82,3.31,3.42,Ya
2.68,3.06,2.75,3.07,Ya
3.10,3.16,3.75,3.39,Ya
2.85,2.94,3.19,3.12,Ya
3.27,3.32,3.32,3.48,Ya
2.63,3.52,3.27,3.58,Ya
2.85,2.92,3.04,3.23,Ya
3.32,3.39,3.25,3.25,Ya
3.21,3.45,3.31,3.31,Ya
2.83,3.09,3.50,3.46,Ya
3.15,3.34,3.56,3.40,Ya
3.11,2.88,3.14,3.06,Ya
2.98,3.05,3.35,3.40,Ya
3.02,3.23,3.42,3.38,Ya
3.06,3.05,3.38,3.44,Ya
3.15,3.38,3.44,3.44,Ya
3.48,3.44,3.48,3.40,Ya
2.81,3.23,3.04,3.35,Ya
2.33,3.33,2.83,3.21,Tidak
2.94,3.09,2.90,3.40,Ya
2.96,3.09,3.15,3.35,Ya
3.64,3.38,3.65,3.46,Ya
2.67,3.25,2.65,3.43,Ya
3.13,3.27,3.15,3.40,Tidak
3.19,3.48,2.82,3.59,Ya
3.06,2.55,2.77,2.98,Tidak
2.94,3.48,3.02,2.89,Ya
2.67,2.59,2.75,2.84,Ya
2.87,2.98,2.97,3.00,Ya
3.34,3.17,3.42,3.30,Ya
3.26,3.32,3.21,2.92,Ya
3.53,3.50,3.58,3.39,Ya
3.23,2.48,3.34,2.91,Ya
3.52,2.80,3.61,3.05,Ya
3.20,3.32,2.87,2.82,Ya
2.98,3.16,2.95,2.98,Ya
3.25,2.75,2.05,2.91,Ya
3.06,2.73,2.63,2.52,Ya
3.12,3.36,2.18,2.78,Ya
2.84,2.89,1.97,2.70,Ya
2.86,2.32,2.89,2.77,Ya
2.77,2.16,3.13,2.80,Ya
3.19,3.14,3.58,2.93,Ya
3.20,2.41,3.24,2.84,Ya
3.18,3.00,3.00,2.84,Ya
3.22,2.39,3.16,3.18,Ya
3.26,3.08,3.34,3.41,Ya
2.95,2.92,3.04,2.88,Ya
2.88,3.35,2.74,3.08,Ya
3.75,3.25,2.17,3.36,Ya
3.08,3.31,3.34,2.80,Ya
2.88,3.17,2.94,3.15,Ya
3.41,3.16,3.28,3.34,Tidak
3.15,3.12,3.22,3.28,Ya
3.32,3.52,3.64,3.55,Ya
3.26,3.48,3.46,3.45,Ya
3.08,3.44,3.46,3.65,Ya
3.42,3.60,3.64,3.50,Ya
3.35,3.40,3.39,3.52,Ya
3.20,3.38,3.43,3.32,Ya
2.73,3.44,3.50,3.66,Ya
3.22,3.44,3.57,3.57,Ya
3.00,3.35,3.29,3.38,Ya
3.20,3.42,3.36,3.42,Ya
3.10,3.37,3.36,3.42,Ya
2.85,3.45,2.86,2.95,Ya
3.32,3.50,3.38,2.44,Ya
2.94,1.38,2.12,1.52,Ya
3.18,1.79,2.94,1.85,Ya
3.16,1.84,2.75,1.96,Ya
2.75,0.23,1.25,1.56,Ya
2.83,2.07,1.25,1.44,Ya
3.17,1.14,0.88,1.77,Ya
3.28,3.00,3.10,2.61,Ya
3.32,0.95,3.35,2.04,Ya
2.36,1.44,2.65,1.54,Ya
2.06,2.38,1.88,1.50,Tidak
2.98,2.89,3.15,3.08,Tidak
3.56,3.34,3.35,3.35,Tidak
3.06,2.61,0.55,1.46,Ya
2.21,2.34,1.72,1.31,Tidak
2.92,2.75,3.29,2.04,Ya
3.07,2.07,3.29,2.12,Ya
2.95,2.16,3.21,2.08,Ya
3.11,2.20,3.35,2.12,Ya
3.48,2.25,3.54,2.23,Ya
3.27,2.12,3.44,2.19,Ya
3.27,2.12,3.41,2.02,Ya
3.27,1.91,3.39,2.08,Ya
3.20,2.11,3.44,2.00,Ya
3.05,2.18,3.35,2.15,Ya
3.20,2.21,3.39,2.15,Ya
3.00,2.04,3.32,2.15,Ya
2.95,3.56,3.33,2.10,Ya
2.91,3.47,3.16,1.90,Ya
3.00,3.19,3.27,1.98,Ya
2.59,3.47,3.08,1.79,Ya
3.09,3.04,3.15,3.55,Tidak
1.94,1.37,2.04,2.14,Tidak
3.23,3.20,3.14,3.56,Tidak
3.12,3.35,2.72,1.97,Tidak
2.20,2.48,2.51,1.39,Tidak
2.85,2.32,2.16,3.12,Tidak
2.49,1.67,1.63,3.11,Tidak
2.87,3.01,3.16,3.10,Tidak
3.15,3.02,3.40,3.48,Tidak
1.96,3.08,1.65,3.06,Tidak
3.18,3.12,3.20,3.23,Tidak
2.52,3.03,2.25,2.94,Tidak
2.91,2.95,2.20,2.76,Tidak
2.62,3.00,2.75,3.22,Tidak
2.30,3.02,2.74,3.40,Tidak
2.82,2.83,2.80,3.07,Tidak
2.65,2.75,2.48,3.08,Tidak
2.83,1.48,1.87,2.44,Tidak
3.16,3.34,3.18,3.27,Tidak
3.04,2.80,2.94,3.47,Tidak
1.57,1.68,2.93,2.81,Ya
3.30,2.98,2.91,3.19,Tidak
2.48,3.06,3.04,3.31,Ya
2.84,3.42,3.38,3.52,Ya
2.50,2.33,2.98,3.19,Ya
2.70,2.59,3.12,3.44,Ya
2.89,3.44,3.19,3.35,Ya
2.98,3.14,3.20,3.11,Tidak
2.93,3.52,3.35,3.21,Ya
2.75,1.52,2.58,2.65,Tidak
2.75,3.19,3.02,2.94,Ya
3.27,3.46,3.44,3.42,Ya
2.91,2.98,2.96,2.83,Ya
2.70,3.04,3.08,2.75,Ya
3.32,3.17,3.18,2.06,Ya
3.23,3.38,3.52,3.17,Ya
3.48,3.48,3.48,3.67,Ya
3.61,3.67,3.69,3.77,Ya
3.41,3.40,3.62,3.50,Ya
3.22,3.29,3.44,3.48,Ya
3.45,3.54,3.48,3.52,Ya
3.30,3.35,3.38,3.46,Ya
3.68,3.58,3.62,3.60,Ya
3.66,3.60,3.65,3.58,Ya
3.50,3.50,3.46,3.44,Ya
3.34,3.20,3.38,3.50,Ya
2.91,3.04,3.25,3.48,Ya
3.36,3.25,3.42,3.60,Ya
3.00,3.13,3.12,3.29,Ya
3.34,3.38,3.48,3.60,Ya
2.91,3.31,3.48,3.46,Ya
2.78,2.81,2.98,3.29,Ya
3.18,3.46,3.40,3.62,Ya
3.55,3.54,3.60,3.71,Ya
3.34,3.56,3.58,3.60,Ya
3.52,3.38,3.33,3.52,Ya
3.57,3.35,3.44,3.75,Ya
3.50,3.33,3.46,3.58,Ya
3.09,3.35,3.52,3.56,Ya
2.84,1.21,3.38,3.57,Ya
3.32,3.75,3.40,3.35,Ya
3.09,2.93,3.50,3.65,Ya
2.68,2.00,3.29,3.33,Ya
2.93,2.82,3.00,3.00,Tidak
2.70,1.10,3.32,2.90,Ya
2.77,1.25,3.30,3.12,Ya
3.05,1.40,3.39,3.28,Ya
3.08,1.30,3.43,3.30,Ya
2.56,0.95,3.21,3.05,Ya
2.30,2.52,3.38,2.38,Ya
1.69,2.81,2.73,2.41,Ya
2.89,3.35,3.22,3.06,Ya
2.50,2.52,2.65,3.08,Ya
3.38,3.42,3.72,3.40,Ya
3.71,3.44,3.77,3.05,Ya
3.06,3.48,3.03,2.85,Ya
2.58,3.45,3.23,3.49,Ya
3.38,3.38,3.07,3.01,Ya
3.48,3.56,3.58,3.19,Tidak
3.30,3.32,3.18,2.92,Ya
3.60,3.60,3.43,3.28,Ya
2.49,3.18,3.33,2.92,Ya
3.50,3.38,3.52,3.26,Ya
3.55,3.46,3.27,2.98,Ya
3.47,3.50,3.68,3.55,Ya
3.06,3.23,3.43,3.34,Ya
3.50,3.42,3.25,3.02,Ya
3.55,3.60,3.50,3.40,Ya
3.47,3.27,3.07,3.25,Ya
3.46,3.21,3.58,3.61,Ya
3.37,3.38,3.32,3.75,Ya
2.95,3.08,3.12,3.19,Ya
3.52,3.21,3.60,3.59,Ya
3.53,3.04,3.63,3.75,Ya
3.45,3.21,3.69,3.53,Ya
3.11,3.00,3.50,3.28,Ya
3.19,3.17,3.46,3.50,Ya
3.58,3.23,3.58,3.64,Ya
3.31,3.43,3.62,3.44,Ya
3.55,3.35,3.81,3.62,Ya
2.58,1.28,3.63,3.41,Ya
3.25,3.42,3.56,3.71,Ya
2.70,1.25,3.65,3.36,Ya
2.73,1.14,3.35,3.44,Ya
3.11,1.25,3.67,3.50,Ya
2.83,1.32,3.58,3.16,Ya
3.21,2.90,3.46,3.27,Ya
2.50,2.52,3.75,3.78,Ya
3.38,3.20,3.48,3.13,Ya
2.45,3.34,3.10,2.64,Ya
1.51,3.12,2.77,3.65,Ya
2.65,1.55,2.94,2.85,Ya
2.70,1.72,2.72,2.93,Ya
2.58,1.72,2.95,2.62,Tidak
3.13,3.30,3.06,3.17,Tidak
3.38,3.28,3.39,3.34,Ya
3.11,3.43,3.27,3.09,Tidak
3.15,3.30,3.08,3.08,Ya
3.34,3.41,2.90,2.66,Ya
3.36,3.41,3.06,2.58,Ya
3.39,3.34,2.99,2.63,Ya
3.43,3.43,3.07,2.65,Ya
3.32,3.40,3.05,2.63,Ya
3.52,3.45,3.51,2.71,Ya
3.48,3.39,3.05,2.79,Ya
3.36,3.16,2.92,2.50,Ya
3.32,3.36,3.39,2.60,Ya
3.29,3.20,2.96,2.38,Ya
3.27,3.27,2.92,1.83,Ya
3.32,3.23,2.82,2.52,Ya
1.88,1.42,3.16,3.29,Ya
1.90,1.09,3.14,3.35,Ya
2.19,1.89,3.14,3.37,Ya
3.27,1.80,3.20,3.28,Ya
1.86,1.84,3.20,3.37,Ya
1.80,1.52,3.09,3.40,Ya
2.05,1.91,3.24,3.41,Ya
1.99,1.77,3.21,3.34,Ya
1.85,1.64,3.15,3.37,Ya
1.92,1.57,3.00,3.15,Ya
2.17,1.80,3.16,3.31,Ya
2.25,1.73,3.14,3.47,Ya
2.09,1.64,3.11,3.48,Ya
2.05,1.66,3.04,3.06,Ya
2.25,1.84,3.19,3.64,Ya
2.25,1.64,3.18,3.25,Ya
2.53,1.89,3.19,3.50,Ya
2.20,1.57,3.00,3.28,Ya
3.07,2.14,3.11,3.51,Ya
2.84,2.19,3.51,3.40,Ya
2.86,2.19,3.46,3.43,Ya
2.62,2.38,3.56,3.59,Ya
2.81,2.19,3.39,3.46,Ya
2.78,2.06,3.44,3.19,Ya
2.84,2.00,3.46,3.19,Ya
2.41,2.22,3.44,3.31,Ya
2.72,2.18,3.26,3.36,Ya
3.17,2.41,3.57,3.37,Ya
3.36,2.34,3.60,3.44,Ya
3.06,2.07,3.49,3.11,Ya
3.32,3.25,2.92,2.56,Ya
3.15,3.14,3.29,3.41,Tidak
2.50,3.31,3.24,3.22,Ya
2.85,3.22,3.28,3.31,Ya
2.59,3.25,3.21,3.22,Ya
2.43,3.11,3.16,2.97,Ya
2.69,3.17,2.89,2.99,Ya
2.75,3.25,3.21,3.06,Ya
2.55,3.17,2.84,2.84,Ya
2.88,2.75,3.28,3.19,Ya
2.80,2.83,2.91,2.56,Ya
2.16,3.14,3.16,2.85,Ya
2.66,2.78,2.85,2.69,Ya
3.15,3.31,3.51,3.07,Ya
2.50,3.09,3.18,3.06,Ya
2.48,2.97,2.82,3.13,Ya
2.60,2.79,3.07,3.07,Ya
3.14,3.28,3.32,3.56,Ya
3.05,3.22,3.26,3.49,Ya
2.65,3.07,3.12,3.01,Ya
3.15,3.22,3.32,3.32,Ya
3.11,3.06,3.21,3.45,Ya
2.21,3.11,3.01,2.69,Ya
2.36,3.14,3.14,2.76,Ya
2.82,3.19,3.25,3.28,Ya
2.89,2.86,3.15,2.41,Ya
3.14,3.75,3.18,3.26,Ya
3.31,3.22,3.44,3.23,Ya
2.44,3.08,2.65,2.76,Ya
3.15,3.30,3.04,3.01,Ya
2.54,3.33,1.77,2.86,Ya
3.02,2.48,0.81,3.45,Ya
3.35,2.34,2.92,3.39,Ya
3.27,3.42,2.69,3.52,Ya
3.06,3.34,3.07,2.84,Tidak
3.17,3.11,3.17,3.08,Ya
3.31,3.14,3.17,3.21,Ya
3.53,3.53,3.19,2.73,Ya
3.35,3.37,3.44,3.15,Ya
3.42,3.27,3.23,3.13,Ya
3.19,3.39,3.52,3.13,Ya
2.85,3.25,2.06,3.45,Ya
1.68,2.05,3.32,3.31,Ya
1.75,1.95,1.82,2.28,Ya
3.29,3.25,3.01,3.32,Tidak
3.22,3.45,3.19,3.54,Tidak
2.49,3.29,2.99,2.93,Tidak
2.84,3.16,2.82,3.25,Tidak
2.98,1.95,3.06,2.48,Ya
3.00,2.50,3.17,2.54,Ya
3.30,3.32,3.39,3.18,Ya
0.85,2.95,3.22,2.52,Ya
3.24,2.93,3.22,2.48,Ya
3.41,3.11,3.04,2.48,Ya
3.22,3.43,3.54,3.16,Ya
3.08,2.98,3.39,2.39,Ya
3.21,3.07,3.24,2.35,Ya
3.22,3.00,3.24,2.41,Ya
1.50,3.09,3.63,2.61,Ya
3.40,2.73,3.57,2.50,Ya
3.22,2.91,3.22,2.39,Ya
3.04,2.93,2.91,2.39,Ya
0.83,3.75,3.18,3.38,Ya
3.48,3.30,3.14,3.22,Tidak
2.77,3.20,2.65,2.25,Ya
2.93,3.20,2.65,2.25,Ya
3.14,3.16,3.02,2.20,Ya
3.11,3.23,3.16,2.15,Tidak
2.95,3.25,1.95,1.83,Ya
3.11,3.20,2.14,2.05,Ya
3.00,3.14,2.08,0.90,Ya
2.68,2.52,1.40,1.62,Ya
3.07,3.27,2.65,2.25,Ya
3.05,3.64,3.01,2.68,Ya
3.07,3.34,3.02,3.02,Tidak
2.95,3.27,2.58,1.96,Tidak
2.70,3.36,2.68,2.56,Ya
2.59,3.52,2.45,2.66,Ya
3.16,3.11,3.09,3.25,Ya
3.11,3.02,3.08,3.25,Ya
3.57,3.48,3.50,3.58,Ya
3.32,3.36,3.59,3.42,Ya
2.67,3.36,3.41,3.50,Ya
2.93,3.14,2.92,3.45,Ya
3.00,3.05,2.89,3.20,Ya
3.54,3.39,3.46,3.71,Ya
3.32,3.05,3.18,3.25,Ya
3.04,3.05,3.31,3.29,Ya
3.32,3.20,3.20,3.55,Ya
3.36,3.39,3.56,3.46,Ya
3.00,3.08,3.31,3.61,Ya
3.58,3.13,3.29,3.42,Ya
2.89,2.88,2.83,3.52,Ya
2.94,3.65,2.95,3.45,Ya
2.27,2.00,2.76,2.93,Ya
3.33,3.33,3.56,3.64,Ya
2.94,2.56,2.83,3.02,Ya
3.17,3.12,3.43,3.22,Ya
2.91,3.12,3.48,3.61,Ya
2.45,3.00,3.25,3.43,Ya
3.15,3.00,3.52,3.59,Ya
2.91,3.11,2.98,3.09,Ya
3.15,3.36,3.38,3.41,Tidak
3.04,3.18,3.39,3.43,Tidak
3.08,3.05,3.42,3.14,Ya
3.54,2.77,3.80,3.68,Ya
3.21,2.79,3.28,3.45,Ya
3.46,2.70,3.73,3.66,Ya
3.14,2.25,3.30,3.57,Ya
3.17,2.41,3.48,3.59,Ya
3.29,2.25,3.72,3.50,Ya
3.10,2.80,3.17,3.61,Ya
3.12,2.52,3.48,3.64,Ya
3.25,2.45,3.58,3.57,Ya
3.22,1.91,2.52,3.59,Ya
3.25,2.35,3.59,3.57,Ya
3.08,2.60,3.30,3.57,Ya
3.42,2.79,3.70,3.80,Ya
3.60,3.28,3.52,3.70,Ya
3.07,3.19,3.40,3.20,Ya
3.19,3.26,3.52,3.30,Ya
2.80,2.08,2.29,2.40,Tidak
3.27,3.29,3.46,3.55,Ya
3.08,4.00,2.71,3.27,Ya
3.26,3.00,3.90,3.66,Ya
2.56,2.62,2.48,3.15,Ya
2.97,3.85,3.50,3.70,Ya
3.07,3.35,3.56,3.50,Ya
2.23,2.00,2.03,1.88,Ya
3.19,3.02,2.57,3.57,Ya
1.68,3.30,3.11,2.92,Ya
2.91,3.40,3.48,3.50,Ya
3.03,3.48,3.83,3.48,Ya
3.33,3.20,3.52,3.57,Ya
2.54,3.27,2.90,2.95,Ya
2.23,2.48,2.50,2.48,Ya
2.91,2.95,3.52,2.78,Ya
3.45,3.25,3.65,3.61,Ya
2.71,2.99,3.22,3.05,Ya
3.17,2.37,2.08,3.06,Ya
2.38,2.58,3.40,3.11,Ya
3.23,2.63,2.98,3.16,Ya
3.24,2.80,3.42,3.16,Ya
2.85,2.58,3.37,2.34,Ya
3.09,3.62,3.45,3.34,Ya
3.19,3.48,3.43,3.39,Ya
3.15,3.73,3.82,3.43,Ya
3.31,3.59,2.67,3.67,Ya
3.06,3.59,3.48,3.39,Ya
2.91,3.68,3.38,2.93,Ya
3.12,3.67,3.52,3.61,Ya
3.08,3.59,3.52,3.16,Ya
2.97,3.66,3.43,3.32,Ya
3.09,3.59,3.60,2.98,Ya
3.18,3.72,3.75,3.39,Ya
3.01,3.65,3.77,3.41,Ya
3.20,3.47,3.63,3.50,Ya
3.20,3.67,3.58,3.45,Ya
2.97,3.60,3.42,3.34,Ya
3.35,3.63,3.63,3.36,Ya
3.34,3.66,3.48,3.34,Ya
3.45,3.62,3.67,3.34,Ya
2.96,3.49,3.42,3.23,Ya
3.27,3.66,3.63,3.48,Ya
3.02,3.31,3.45,3.11,Ya
3.51,3.72,3.63,3.68,Ya
3.05,3.45,3.47,3.20,Ya
2.81,3.45,3.67,3.27,Ya
2.86,3.40,3.23,3.20,Ya
3.32,3.48,3.58,3.57,Ya
